id,ticker,candle_date,open,high,low,close,updated_at
73307,TMCV.NS,2026-06-17,406.7000,408.3500,397.6500,403.2000,2026-06-17 08:49:25.51+00
65008,TMCV.NS,2026-06-16,410.0000,410.0000,400.0000,406.7000,2026-06-17 08:49:25.51+00
16495,TMCV.NS,2026-06-15,411.0000,426.6500,404.0000,406.6000,2026-06-17 08:49:25.51+00
7997,TMCV.NS,2026-06-12,363.0000,398.0000,361.5000,390.3000,2026-06-17 08:49:25.51+00
7996,TMCV.NS,2026-06-11,363.8000,363.8000,357.0500,358.3500,2026-06-17 08:49:25.51+00
7995,TMCV.NS,2026-06-10,365.3000,370.0000,362.2000,364.9000,2026-06-17 08:49:25.51+00
7994,TMCV.NS,2026-06-09,365.0000,370.3000,362.0500,363.3000,2026-06-17 08:49:25.51+00
7993,TMCV.NS,2026-06-08,364.0000,367.8000,360.2000,363.0000,2026-06-17 08:49:25.51+00
7992,TMCV.NS,2026-06-05,376.6000,378.6000,367.0500,369.1500,2026-06-17 08:49:25.51+00
7991,TMCV.NS,2026-06-04,373.9500,387.9500,371.5000,373.6000,2026-06-17 08:49:25.51+00
7990,TMCV.NS,2026-06-03,368.8000,377.1000,363.0000,373.9500,2026-06-17 08:49:25.51+00
7989,TMCV.NS,2026-06-02,373.0000,376.2500,367.1500,370.5500,2026-06-17 08:49:25.51+00
7988,TMCV.NS,2026-06-01,385.0000,386.8500,372.5000,374.2500,2026-06-17 08:49:25.51+00
7987,TMCV.NS,2026-05-29,387.4500,391.6500,377.0500,379.5000,2026-06-17 08:49:25.51+00
7986,TMCV.NS,2026-05-28,383.8500,383.8500,383.8500,383.8500,2026-06-17 08:49:25.51+00
7985,TMCV.NS,2026-05-27,386.9500,391.8000,378.5000,383.8500,2026-06-17 08:49:25.51+00
7984,TMCV.NS,2026-05-26,394.7000,398.2500,383.4000,385.1000,2026-06-17 08:49:25.51+00
7983,TMCV.NS,2026-05-25,386.0000,399.3500,386.0000,395.6500,2026-06-17 08:49:25.51+00
7982,TMCV.NS,2026-05-22,380.0000,389.0000,374.5500,382.9500,2026-06-17 08:49:25.51+00
7981,TMCV.NS,2026-05-21,386.7000,388.5000,378.8000,379.9000,2026-06-17 08:49:25.51+00
7980,TMCV.NS,2026-05-20,373.5000,381.8000,370.8000,379.7000,2026-06-17 08:49:25.51+00
7979,TMCV.NS,2026-05-19,381.0000,383.3000,371.5500,378.6500,2026-06-17 08:49:25.51+00
7978,TMCV.NS,2026-05-18,373.0000,383.6500,365.9000,379.8000,2026-06-17 08:49:25.51+00
7977,TMCV.NS,2026-05-15,378.0000,390.6500,376.0000,377.9500,2026-06-17 08:49:25.51+00
7976,TMCV.NS,2026-05-14,393.8500,396.0000,367.5000,379.4500,2026-06-17 08:49:25.51+00
7975,TMCV.NS,2026-05-13,388.2500,392.8500,378.2000,384.2500,2026-06-17 08:49:25.51+00
7974,TMCV.NS,2026-05-12,411.0000,414.8000,384.8500,387.0500,2026-06-17 08:49:25.51+00
7973,TMCV.NS,2026-05-11,425.5000,425.5000,410.0000,411.0000,2026-06-17 08:49:25.51+00
7972,TMCV.NS,2026-05-08,430.0000,437.5000,426.0000,431.0000,2026-06-17 08:49:25.51+00
7971,TMCV.NS,2026-05-07,432.0000,437.8000,428.5500,434.0500,2026-06-17 08:49:25.51+00
7970,TMCV.NS,2026-05-06,410.0000,433.0000,407.8500,429.7500,2026-06-17 08:49:25.51+00
7969,TMCV.NS,2026-05-05,412.0000,413.2500,404.5000,406.5500,2026-06-17 08:49:25.51+00
7968,TMCV.NS,2026-05-04,415.0000,418.0500,407.5000,412.9000,2026-06-17 08:49:25.51+00
7967,TMCV.NS,2026-05-01,409.9000,409.9000,409.9000,409.9000,2026-06-17 08:49:25.51+00
7966,TMCV.NS,2026-04-30,416.5000,416.7000,403.9000,409.9000,2026-06-17 08:49:25.51+00
7965,TMCV.NS,2026-04-29,424.0000,427.9500,414.1000,416.9500,2026-06-17 08:49:25.51+00
7964,TMCV.NS,2026-04-28,420.7500,428.1500,416.4500,418.3000,2026-06-17 08:49:25.51+00
7963,TMCV.NS,2026-04-27,425.8000,428.1000,419.0000,420.7500,2026-06-17 08:49:25.51+00
7962,TMCV.NS,2026-04-24,432.0000,435.4500,421.1000,424.5500,2026-06-17 08:49:25.51+00
7961,TMCV.NS,2026-04-23,447.7500,448.5000,430.2000,431.8500,2026-06-17 08:49:25.51+00
7960,TMCV.NS,2026-04-22,442.0500,449.9000,440.6000,447.8000,2026-06-17 08:49:25.51+00
7959,TMCV.NS,2026-04-21,438.4000,449.0000,437.5000,442.5500,2026-06-17 08:49:25.51+00
7958,TMCV.NS,2026-04-20,440.0000,441.0000,431.0500,438.4000,2026-06-17 08:49:25.51+00
7957,TMCV.NS,2026-04-17,438.0500,445.4000,435.7000,439.1000,2026-06-17 08:49:25.51+00
7956,TMCV.NS,2026-04-16,441.0000,444.5500,437.6000,442.0000,2026-06-17 08:49:25.51+00
7955,TMCV.NS,2026-04-15,442.3000,446.0000,433.1000,435.2000,2026-06-17 08:49:25.51+00
7954,TMCV.NS,2026-04-13,430.0000,442.6500,423.0000,429.8000,2026-06-17 08:49:25.51+00
7953,TMCV.NS,2026-04-10,433.0000,446.2500,430.3500,444.5500,2026-06-17 08:49:25.51+00
7952,TMCV.NS,2026-04-09,434.0500,443.0000,422.1000,425.6000,2026-06-17 08:49:25.51+00
7951,TMCV.NS,2026-04-08,413.4000,445.9500,409.5500,434.0500,2026-06-17 08:49:25.51+00
7950,TMCV.NS,2026-04-07,389.0000,398.0000,384.5000,396.0500,2026-06-17 08:49:25.51+00
7949,TMCV.NS,2026-04-06,388.9500,396.8500,382.5500,391.3000,2026-06-17 08:49:25.51+00
7948,TMCV.NS,2026-04-02,390.0000,392.6500,375.8000,388.1000,2026-06-17 08:49:25.51+00
7947,TMCV.NS,2026-04-01,414.5000,417.8500,391.0000,396.0500,2026-06-17 08:49:25.51+00
7946,TMCV.NS,2026-03-30,410.8500,416.1000,388.7500,394.8000,2026-06-17 08:49:25.51+00
7945,TMCV.NS,2026-03-27,426.0000,437.0000,407.1000,427.6000,2026-06-17 08:49:25.51+00
7944,TMCV.NS,2026-03-25,420.0000,436.2500,420.0000,431.8500,2026-06-17 08:49:25.51+00
7943,TMCV.NS,2026-03-24,413.6500,420.8000,404.6000,415.7000,2026-06-17 08:49:25.51+00
7942,TMCV.NS,2026-03-23,415.4000,416.0000,391.8000,394.4500,2026-06-17 08:49:25.51+00
7941,TMCV.NS,2026-03-20,423.8000,424.0000,415.0000,419.6500,2026-06-17 08:49:25.51+00
7940,TMCV.NS,2026-03-19,440.0000,440.0000,413.7500,417.2500,2026-06-17 08:49:25.51+00
7939,TMCV.NS,2026-03-18,445.0000,451.6000,438.6500,447.6500,2026-06-17 08:49:25.51+00
7938,TMCV.NS,2026-03-17,445.0000,446.8500,430.1000,441.9500,2026-06-17 08:49:25.51+00
7937,TMCV.NS,2026-03-16,420.0000,442.0000,415.8000,437.6000,2026-06-17 08:49:25.51+00
7936,TMCV.NS,2026-03-13,439.0000,442.1500,418.0000,425.6500,2026-06-17 08:49:25.51+00
7935,TMCV.NS,2026-03-12,440.9500,446.9000,425.0000,443.5500,2026-06-17 08:49:25.51+00
7934,TMCV.NS,2026-03-11,465.0000,469.9000,440.0000,445.4500,2026-06-17 08:49:25.51+00
7933,TMCV.NS,2026-03-10,458.2000,470.6500,455.3000,459.1500,2026-06-17 08:49:25.51+00
7932,TMCV.NS,2026-03-09,463.7500,467.7000,433.4000,448.3000,2026-06-17 08:49:25.51+00
7931,TMCV.NS,2026-03-06,485.0000,492.1500,471.0500,474.2500,2026-06-17 08:49:25.51+00
7930,TMCV.NS,2026-03-05,473.7000,487.6000,472.7000,480.4000,2026-06-17 08:49:25.51+00
7929,TMCV.NS,2026-03-04,490.0000,492.0000,466.0500,470.7500,2026-06-17 08:49:25.51+00
7928,TMCV.NS,2026-03-02,485.0000,506.5000,483.0000,498.0000,2026-06-17 08:49:25.51+00
7927,TMCV.NS,2026-02-27,495.0000,509.0000,491.5500,505.3000,2026-06-17 08:49:25.51+00
7926,TMCV.NS,2026-02-26,480.0000,495.0000,480.0000,491.3500,2026-06-17 08:49:25.51+00
7925,TMCV.NS,2026-02-25,478.0000,482.9500,474.3000,479.8500,2026-06-17 08:49:25.51+00
7924,TMCV.NS,2026-02-24,483.3000,483.3500,472.5500,475.5000,2026-06-17 08:49:25.51+00
7923,TMCV.NS,2026-02-23,478.9500,485.8000,471.5000,479.8000,2026-06-17 08:49:25.51+00
7922,TMCV.NS,2026-02-20,476.3000,482.9000,471.0500,472.9000,2026-06-17 08:49:25.51+00
7921,TMCV.NS,2026-02-19,489.0000,490.0000,470.0000,474.5000,2026-06-17 08:49:25.51+00
7920,TMCV.NS,2026-02-18,490.6000,498.7500,485.2000,488.8000,2026-06-17 08:49:25.51+00
7919,TMCV.NS,2026-02-17,482.4500,491.0000,479.3000,489.7500,2026-06-17 08:49:25.51+00
7918,TMCV.NS,2026-02-16,483.9000,490.9000,476.9000,479.0500,2026-06-17 08:49:25.51+00
7917,TMCV.NS,2026-02-13,494.0000,498.9000,481.5500,483.7500,2026-06-17 08:49:25.51+00
7916,TMCV.NS,2026-02-12,491.0500,500.0000,483.6500,498.1500,2026-06-17 08:49:25.51+00
7915,TMCV.NS,2026-02-11,488.0000,497.8000,479.3000,487.2000,2026-06-17 08:49:25.51+00
7914,TMCV.NS,2026-02-10,470.0000,476.9000,467.8000,472.5500,2026-06-17 08:49:25.51+00
7913,TMCV.NS,2026-02-09,460.0000,472.9500,456.8000,466.8000,2026-06-17 08:49:25.51+00
7912,TMCV.NS,2026-02-06,458.0000,461.4500,447.6000,458.2500,2026-06-17 08:49:25.51+00
7911,TMCV.NS,2026-02-05,461.6000,465.7500,454.0000,455.9000,2026-06-17 08:49:25.51+00
7910,TMCV.NS,2026-02-04,464.0000,472.9000,456.6500,458.4500,2026-06-17 08:49:25.51+00
7909,TMCV.NS,2026-02-03,470.0000,479.7000,451.2500,457.9500,2026-06-17 08:49:25.51+00
7908,TMCV.NS,2026-02-02,441.0000,446.9000,431.0000,443.5500,2026-06-17 08:49:25.51+00
7907,TMCV.NS,2026-01-30,461.0000,485.4000,450.5500,458.5000,2026-06-17 08:49:25.51+00
7906,TMCV.NS,2026-01-29,473.7500,475.5000,459.7500,470.2000,2026-06-17 08:49:25.51+00
7905,TMCV.NS,2026-01-28,450.0000,470.2500,448.0000,467.9500,2026-06-17 08:49:25.51+00
7904,TMCV.NS,2026-01-27,450.0000,454.7500,438.5000,443.9000,2026-06-17 08:49:25.51+00
7903,TMCV.NS,2026-01-23,446.9500,456.4000,439.3500,449.2000,2026-06-17 08:49:25.51+00
7902,TMCV.NS,2026-01-22,436.1000,453.8000,435.8500,444.9000,2026-06-17 08:49:25.51+00
7901,TMCV.NS,2026-01-21,431.3500,449.5500,421.1000,434.8500,2026-06-17 08:49:25.51+00
7900,TMCV.NS,2026-01-20,441.4000,446.4000,426.5500,432.4500,2026-06-16 13:51:01.069+00
7899,TMCV.NS,2026-01-19,442.0000,451.2000,434.5000,441.4000,2026-06-15 17:01:28.146+00
7898,TMCV.NS,2026-01-16,431.9500,446.6500,427.5000,438.5000,2026-06-14 14:51:42.613+00